,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pt,GSM,Kraft,Cardboard,Corrugated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kg,Shipping Cost,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,170350,2792.62378458617
23,Kraft Double Wall Frame Tray,10,https://www.thecustomboxes.com/double-wall-frame-tray/,11,7,3,30,26,234000,15.0967741935484,6038.70967741936,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,30,26,,,,,,,,,30,26,1000,1000,1000,,25,0.135870967741936,13.5870967741935,43957,50%,10%,,,,,70,183454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,> 70 Kgs,2250,
,Cardboard Boxes,,https://thecustompack.com/cardboard-material/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cardboard DISPLAY BOX,,,12,4,5,33.5,24,241200,15.5612903225806,4668.38709677419,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,33.5,24,5.58333333333333,19.5416666666667,1954.16666666667,33.5,24,5.58333333333333,111.666666666667,11166.6666666667,33.5,24,7236,1000,1000,,27,0.140051612903226,14.0051612903226,47078,50%,10%,,,,,,,
2,"Cardboard TUCK End BOX - Reverse Tuck end Box ,Straight Tuck End Box, 1-2-3 lock Bottom Box, Auto Lock Bottom Box, ",,,3,2,5,11.5,10.5,36225,2.33709677419355,701.129032258065,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,11.5,10.5,0.838541666666667,2.93489583333333,293.489583333333,11.5,10.5,0.838541666666667,16.7708333333333,1677.08333333333,11.5,10.5,1086.75,1000,1000,,25,0.0210338709677419,2.10338709677419,14512,50%,10%,,,,,,,
3,Cardboard  Box with Lid ,,,8,6,3,13.5,21.5,87075,5.61774193548387,1685.32258064516,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,13.5,21.5,2.015625,7.0546875,705.46875,13.5,21.5,2.015625,40.3125,4031.25,13.5,21.5,2612.25,1000,1000,2x,25%,0.0505596774193549,10.111935483871,34936,50%,10%,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cardboard Gable Box,,,10,4,7,29.5,17,150450,9.70645161290323,3882.58064516129,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,29.5,17,3.48263888888889,12.1892361111111,1218.92361111111,29.5,17,3.48263888888889,69.6527777777778,6965.27777777778,29.5,17,4513.5,1000,1000,,25,0.087358064516129,8.7358064516129,18631,60%,10%,,,,,,,
6,Carboard Cake / Bakery Box,,,12,8,3,24,20,144000,9.29032258064516,3716.12903225807,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,24,20,3.33333333333333,11.6666666666667,1166.66666666667,24,20,3.33333333333333,66.6666666666667,6666.66666666667,24,20,4320,1000,1000,,25,0.0836129032258065,8.36129032258065,20443,70%,10%,,,,,,,
7,Cardboard Sleeve Box,,,8,6,3,19.5,21.5,125775,8.11451612903226,3245.8064516129,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,21.5,2.91145833333333,10.1901041666667,1019.01041666667,19.5,21.5,2.91145833333333,58.2291666666667,5822.91666666667,19.5,21.5,3773.25,1000,1000,2x,25,0.0730306451612903,14.6061290322581,47078,50%,10%,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Cardboard Dispenser Box,,,4,3,8,18.5,25.5,141525,9.13064516129032,2739.1935483871,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,18.5,25.5,3.27604166666667,11.4661458333333,1146.61458333333,18.5,25.5,3.27604166666667,65.5208333333333,6552.08333333333,18.5,25.5,1000,1000,1000,,25,0.0821758064516129,8.21758064516129,29975,50%,10%,,,,,,,
12,Cardboard Five Panel Hanger,,,3,1,6,9.5,10,28500,1.83870967741935,551.612903225807,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,9.5,10,0.659722222222222,2.30902777777778,230.902777777778,9.5,10,0.659722222222222,13.1944444444444,1319.44444444444,9.5,10,1000,1000,1000,,25,0.0165483870967742,1.65483870967742,12188,50%,10%,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cardboard Mailer Boxes,,,6,11,2.5,17.5,31,162750,10.5,3150,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,17.5,31,3.76736111111111,13.1857638888889,1318.57638888889,17.5,31,3.76736111111111,75.3472222222222,7534.72222222222,17.5,31,4882.5,1000,1000,,25%,0.0945,9.45,32568,50%,10%,,,,,,,
15,Cardboard Double Locked Wall Lid Box,,,8,6,3,19.5,21.5,125775,8.11451612903226,2434.35483870968,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,21.5,2.91145833333333,10.1901041666667,1019.01041666667,19.5,21.5,2.91145833333333,58.2291666666667,5822.91666666667,19.5,21.5,3773.25,1000,1000,2x,25%,0.0730306451612903,14.6061290322581,47078,50%,10%,,,,,,,
16,Cardboard Side Lock Six Corner Box,,,12,8,2.5,24.5,18.5,135975,8.77258064516129,2631.77419354839,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,24.5,18.5,3.14756944444444,11.0164930555556,1101.64930555556,24.5,18.5,3.14756944444444,62.9513888888889,6295.13888888889,24.5,18.5,1000,1000,1000,,27,0.0789532258064516,7.89532258064516,28682,60%,10%,,,,,,,
17,Cardboard Regular Six Corner Box,,,12,8,2.5,24.5,18.5,135975,8.77258064516129,2631.77419354839,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,24.5,18.5,3.14756944444444,11.0164930555556,1101.64930555556,24.5,18.5,3.14756944444444,62.9513888888889,6295.13888888889,24.5,18.5,1000,1000,1000,,27,0.0789532258064516,7.89532258064516,28682,60%,10%,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cardboard Seal End Auto Bottom Box,,,3,2,5,11.5,10.5,36225,2.33709677419355,701.129032258065,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,11.5,10.5,0.838541666666667,2.93489583333333,293.489583333333,11.5,10.5,0.838541666666667,16.7708333333333,1677.08333333333,11.5,10.5,1000,1000,1000,,25,0.0210338709677419,2.10338709677419,14512,50%,10%,,,,,,,
20,Cardboard Auto Bottom Tray,,,6,3,2,19.5,5.75,33637.5,2.17016129032258,651.048387096774,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,19.5,5.75,0.778645833333333,2.72526041666667,272.526041666667,19.5,5.75,0.778645833333333,15.5729166666667,1557.29166666667,19.5,5.75,1000,1000,1000,,25,0.0195314516129032,1.95314516129032,12188,50%,10%,,,,,,,
21,Cardboard Two Piece Box,,,8,6,3,13.5,21.5,87075,5.61774193548387,1685.32258064516,200,1200,1200,2400,0,2400,2400,4800,0,5000,5000,10000,0,8000,8000,16000,0,3500,3500,7000,0,6000,6000,12000,0,8000,8000,16000,0,10000,10000,20000,0,13.5,21.5,2.015625,7.0546875,705.46875,13.5,21.5,2.015625,40.3125,4031.25,13.5,21.5,2612.25,1000,1000,2x,25%,0.0505596774193549,10.111935483871,34936,50%,10%,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
